ET,NEE,dayind
3.073388863,-5.625311492,1209
3.285371456,-6.467696458,1210
3.371196395,-6.170732012,1211
3.258361271,-8.09107137,1212
2.939033915,-7.147784392,1213
0.270320809,3.726864523,1214
2.184713184,-5.228879433,1215
1.277308255,-2.728598514,1216
3.32238182,-7.503423681,1217
2.151449655,-4.537551999,1218
0.541660402,3.429234821,1219
0.79104238,0.904762683,1220
4.039187806,-7.556766035,1221
3.857732363,-6.711937898,1222
2.441801313,-8.131878505,1223
3.463321286,-7.986423405,1224
4.02098965,-7.634927246,1225
3.770082462,-9.375779021,1226
0.992946222,0.706165945,1227
1.559039323,-3.734558011,1228
1.571021829,-3.725539009,1229
2.488759732,-5.158265963,1230
3.04187664,-7.353443309,1231
3.580354161,-7.193810606,1232
3.596165829,-7.915690592,1233
4.469889099,-6.24820086,1234
3.804406496,-8.617923309,1235
3.285958943,-7.091187522,1236
3.788035028,-8.253386742,1237
3.07529023,-6.340568292,1238
3.767980008,-6.453252202,1239
4.119850646,-6.856659477,1240
4.072427291,-5.160525338,1241
4.579630262,-7.665863221,1242
3.699198561,-7.829059369,1243
3.217933653,-7.616652844,1244
3.611536017,-8.409752292,1245
2.644858116,-5.31089492,1246
5.158448187,-5.571871095,1247
3.913997099,-4.638331039,1248
4.189098783,-3.871346098,1249
4.133176571,-3.21962995,1250
4.232411098,-4.897096866,1251
4.300404549,-4.965143838,1252
3.198050831,-4.337146148,1253
2.430449091,-3.190328801,1254
2.586602897,-4.308218617,1255
2.663579406,-5.368129142,1256
4.072701725,-5.416215009,1257
2.465844849,-5.941960152,1258
3.505195595,-4.507361864,1259
3.515752418,-5.558459802,1260
4.319817853,-6.224729096,1261
3.358979567,-5.626604087,1262
3.579183511,-4.461366871,1263
4.292517411,-4.679975757,1264
3.750113098,-5.031687923,1265
4.102638199,-5.348167538,1266
3.85484615,-5.366265331,1267
3.373961043,-6.358855501,1268
2.850551913,-5.232642197,1269
1.641086445,-2.679948525,1270
3.53677102,-4.07284124,1271
2.267306325,-1.445314163,1272
1.575916729,1.506163153,1273
2.112034175,-4.179126732,1274
1.121482488,0.637579348,1275
0.767483554,1.909063049,1276
0.605525688,4.371762885,1277
2.051002662,-0.192617727,1278
2.613236763,-3.470555711,1279
2.669065531,-3.615422417,1280
3.27706625,-5.091088552,1281
3.22105967,-5.149573783,1282
1.19928201,1.486442074,1283
3.434004813,-6.01534456,1284
3.19051665,-4.70285313,1285
1.415467107,-0.384928297,1286
3.219153432,-4.613198959,1287
2.868936304,-3.159216142,1288
3.157197273,-3.624159433,1289
3.292995238,-5.069613969,1290
2.97744108,-5.515346174,1291
2.783714437,-4.782015168,1292
1.927807978,-5.142646508,1293
1.517462476,-3.500810245,1294
0.824105328,-0.975977518,1295
1.614558098,-1.692630772,1296
2.777217355,-3.316282084,1297
1.939187927,-3.991873101,1298
1.445069417,-3.569167277,1299
0.672285051,2.73778903,1300
0.682309786,0.282134147,1301
2.850227336,-3.925985192,1302
1.716151475,-2.927626824,1303
2.595138868,-3.184867488,1304
2.143806725,-3.414033678,1305
2.358665261,-4.560607562,1306
2.353824866,-3.197263011,1307
1.663917837,-4.607003677,1308
2.548602242,-3.271917454,1309
2.506556642,-4.059300081,1310
1.859855772,-3.580073212,1311
1.968908905,-3.827268781,1312
1.919099977,-3.510860872,1313
2.464368408,-4.215428338,1314
0.549767707,2.785604475,1315
1.157727658,0.419006775,1316
2.205733498,-3.057087478,1317
1.827174827,-3.736443199,1318
1.455901264,-2.886087935,1319
1.827045416,-2.766556418,1320
1.490245748,-2.221702599,1321
1.444735422,-2.734581228,1322
1.528687881,-2.958596831,1323
1.343190651,-3.141040567,1324
1.101845514,-2.154890725,1325
1.363279469,-2.71460076,1326
1.402676936,-2.69045942,1327
0.937059843,-1.729039652,1328
1.469367076,-2.827061808,1329
1.543059439,-2.515551748,1330
1.503013743,-2.951628642,1331
1.324102284,-3.297220145,1332
0.323503023,1.406073145,1333
0.780643511,-0.230097446,1334
1.089691316,-0.578035891,1335
0.19089755,2.169571027,1336
0.420757513,0.920151396,1337
0.072025645,1.830190189,1338
0.25846306,1.498401372,1339
0.402468992,0.774787293,1340
0.600268138,0.405507592,1341
