ET,NEE,dayind
0.796373245,1.841188157,552
1.93843643,-2.723443673,553
1.878623865,-4.22821153,554
3.142696746,-4.702273808,555
3.766291016,-4.515626929,556
2.935649204,-4.454558237,557
2.831951816,-5.064058219,558
2.911505601,-2.719973898,559
2.74154916,-6.557274864,560
2.176277025,-4.029770546,561
2.1244523,-4.487381168,562
0.150003573,3.055900844,563
1.273566295,-3.131302668,564
1.984832456,-4.938830554,565
2.976144841,-5.630981824,566
2.446802425,-5.341847493,567
1.93941236,-4.573785505,568
2.213203003,-4.462188756,569
1.827086664,-3.797563829,570
1.583607032,-2.104224784,571
1.581194203,-2.909319966,572
2.276822814,-2.832631067,573
1.392622248,-2.509592325,574
3.16427498,-5.796153204,575
0.805073153,0.914466198,576
2.097592588,-2.815848029,577
2.310989187,-5.774217292,578
1.830701029,-4.406961635,579
1.600783008,-3.762230293,580
3.317730639,-7.064357848,581
3.436207722,-6.252361913,582
3.385580476,-6.394454903,583
3.047493504,-5.768020304,584
3.516664105,-5.37729808,585
3.417050905,-4.521542163,586
2.592230364,-4.631783339,587
2.94651822,-4.791209808,588
3.985716537,-4.209327331,589
3.104620831,-3.357177633,590
3.530186107,-2.800851051,591
2.198556332,-3.150203206,592
3.003984683,-3.380746257,593
2.783374898,-3.446576109,594
2.305626202,-3.326816771,595
2.072147674,-3.433190957,596
2.101618538,-2.349100896,597
2.246937404,-3.162158287,598
2.075704567,-1.410676962,599
1.75836807,-2.930272707,600
1.577827489,-1.462175561,601
1.583337082,-1.828238245,602
1.982636845,-2.754280586,603
1.391889042,-1.468596432,604
3.03075147,-4.217628493,605
1.016225562,-0.239917462,606
2.395609238,-3.477244589,607
1.724076724,-2.019941452,608
0.75067943,1.934018232,609
2.012479425,-1.26421846,610
1.89317269,-3.927951836,611
1.119895318,-2.050508251,612
1.971153806,-4.126397899,613
1.415909379,-3.700496885,614
1.503892892,-3.596030709,615
1.217589755,-2.651870726,616
1.102245303,-2.55185494,617
1.607908024,-4.189024065,618
1.100846149,-4.027879875,619
1.184873429,-3.088913143,620
1.494545668,-3.581845658,621
1.681883308,-4.525522297,622
1.518323601,-3.476179946,623
1.370565693,-4.570979136,624
1.09853199,-2.660474867,625
0.86434462,0.467023882,626
2.566113228,-3.665642036,627
2.182825691,-3.590438192,628
2.706078159,-4.475234074,629
1.757329567,-4.857133376,630
1.586500569,-3.173882634,631
1.559598712,-2.596648917,632
1.359172878,-2.504087085,633
0.982492969,-2.077157034,634
0.82682025,-1.409150786,635
0.327669492,1.051007746,636
0.723007922,-0.639951788,637
1.199200278,-1.86974792,638
0.652345716,-1.855632756,639
0.684765831,-2.307684577,640
0.095583415,1.086123181,641
1.466087175,-0.963232625,642
1.85718654,-1.606401135,643
1.44835362,-0.447102174,644
1.599075213,-3.754243862,645
1.03193519,-2.066813574,646
1.523915782,-2.672904995,647
1.529272267,-3.355485884,648
1.473071153,-3.209410495,649
1.17794199,-3.03033182,650
1.229172334,-2.857067995,651
1.098390895,-3.581249996,652
0.944680098,-3.16690971,653
1.228215865,-2.141930952,654
0.46974165,0.956140648,655
1.278835709,-1.945893898,656
0.70745949,-1.007629993,657
1.070445446,-1.543490742,658
0.982998346,-1.90451835,659
0.826389245,-0.720738797,660
0.861110494,-1.180140749,661
0.629970001,1.970192336,662
1.450292131,-2.47210158,663
0.240175728,1.597136648,664
0.370585819,0.319014698,665
0.906440277,-1.972378142,666
0.979145905,0.479438672,667
0.981949607,-0.512864253,668
1.227496302,-1.904103501,669
0.758736857,-0.012261618,670
1.42824383,-3.173810507,822
1.406647971,-3.4906639,823
1.788238552,-3.661836267,824
1.395343198,-2.979788541,825
0.723152592,0.618446083,826
1.424252951,-2.343736957,827
1.442140615,-2.944951329,828
1.900650536,-4.345962948,829
1.089589187,-2.426575389,830
1.682454438,-3.248356223,831
2.031697167,-3.527258027,832
2.162772704,-2.905831271,833
1.854264954,-4.383598089,834
1.41719134,-1.754234167,835
2.361439203,-4.646950723,836
1.511507596,-2.20539044,837
0.937899028,0.826531151,838
1.284383248,-0.880806549,839
3.521958046,-3.630507974,840
1.240829743,-2.263548905,841
2.364767187,-5.14657841,842
2.101648751,-3.655603796,843
2.002223984,-4.047092439,844
1.849275442,-3.34932047,845
1.806422375,-2.754007698,846
2.039246825,-3.741353267,847
1.955310856,-4.47661022,848
2.125413377,-3.874224164,849
1.674410459,-3.867719202,850
1.795731587,-1.71133887,851
1.90045537,-3.790089346,852
1.766020593,-3.706080926,853
2.027492031,-2.597904411,854
2.06625878,-2.418200869,855
1.895586721,-3.191300601,856
1.864391316,-4.843575403,857
2.212554662,-4.695463846,858
1.778496609,-2.407376351,859
1.143032519,0.180568305,860
2.022507325,-1.804635772,861
1.762871621,-2.251115428,862
1.421884817,-0.63785459,863
1.392563516,-0.722526092,864
3.144854026,-5.408106639,865
2.376012406,-4.084088108,866
1.734757877,-3.814567487,867
2.44381942,-4.704290026,868
2.44894541,-3.907586494,869
2.248650113,-2.515844079,870
2.396363718,-2.35483997,871
2.436137729,-2.462443684,872
2.128470455,-2.607619135,873
1.429817288,-1.468527078,874
2.862747382,-1.335949577,875
2.487831386,-2.233612229,876
2.374514133,-2.70776773,877
2.169544364,-3.305845804,878
1.975320392,-1.925357371,879
1.953558085,-3.033659933,880
2.176347062,-1.473246975,881
1.827685945,-1.902074795,882
2.203044605,-2.377270846,883
2.20635654,-2.741859421,884
2.239864284,-2.911872669,885
2.033982873,-2.76656707,886
2.170864378,-2.826654479,887
1.199022942,0.25969324,888
1.514952022,4.802031704,889
2.816792676,-2.899110203,890
2.229095301,-2.480788731,891
2.677077934,-2.22377157,892
2.448011166,-1.97354308,893
1.983580633,-3.435977474,894
2.401846219,-3.769089558,895
2.338781745,-2.95690791,896
2.577737944,-2.579277345,897
1.9964655,-1.605210851,898
2.401107274,-2.48605608,899
2.016663319,-0.583653449,900
2.122329749,-1.549435079,901
1.735530545,-0.240482347,902
2.248108242,-0.910650606,903
2.100257087,-0.428492925,904
1.906188696,0.520456088,905
0.778909799,0.85155454,906
1.895572954,-1.201948884,907
2.106107629,-0.013515145,908
2.846842184,-1.008398524,909
2.405478657,-1.777422604,910
2.424548913,-1.11391605,911
2.238751619,-2.096592291,912
1.074957256,-0.705666221,913
1.160857955,1.946175115,914
0.848275719,2.699354535,915
3.940164997,-0.574858238,916
2.355290483,-2.367673928,917
3.032751064,-3.219084443,918
0.95005618,2.136925557,919
1.210572123,2.073067637,920
1.421098462,0.227785572,921
0.533031504,5.183905018,922
3.232763931,-1.331911362,923
3.64579438,-1.727009492,924
3.240059499,-2.863390661,925
2.940403753,-1.846501818,926
0.684421577,3.413455453,927
1.320617417,1.478155441,928
2.165691177,-0.939452127,929
2.089922987,0.030947406,930
3.36426536,-2.996791945,931
3.019333019,-2.12998062,932
2.822794506,-1.2132223,933
2.32451837,1.141983228,934
1.560423429,6.615645764,935
0.695774939,3.775245907,936
4.205117671,-2.245097137,937
3.130492994,-2.516401736,938
2.381914375,-3.317717267,939
0.504602321,4.217464606,940
1.837534015,-1.020804927,941
2.85954429,-3.281034327,942
0.751256765,3.609713594,943
2.211443729,-1.620318593,944
3.124733524,-3.344823985,945
2.943309335,-3.604778116,946
3.247464206,-4.304248038,947
3.821899715,-3.113634121,948
2.308712523,-0.413951113,949
4.028347395,-4.560340027,950
2.449142827,-3.689095433,951
1.548375114,-0.601210918,952
0.521538635,2.233281055,953
1.869898944,-1.862879419,954
2.854861823,-4.204410852,955
